case_id,case_outcome,case_title,case_text
Case14,followed,George v Cluning (1979) 53 ALJR 767 (note),"Strictly speaking, a cheque, even a bank cheque, is not a form of legal tender. Subject to some particular contractual or statutory provision, the only forms of legal tender remain Australian notes or, subject to the limits specified, Australian coins see s 36 of the Reserve Bank Act 1959 and s 16 of the Currency Act 1965 respectively. However, in general trade and commerce, as Mason J observed in George v Cluning (1979) 53 ALJR 767 (note) by reference to Canadian authority, a payment by cheque can amount to sufficient payment if not objected to on that account. In this case there was no objection made by the Deputy Commissioner on account of Ganter's endeavouring to settle its indebtedness by the tendering of a cheque only, as I have noted a signification that it was accepted subject to a condition that the cheque would be paid on presentation"
Case39,considered,Australian Securities and Investments Commission v Pegasus Leveraged Options Group Pty Ltd (2002) 41 ACSR 561,"In Australian Securities and Investments Commission v Pegasus Leveraged Options Group Pty Ltd (2002) 41 ACSR 561 at 574 ("" Pegasus ""), Davies AJ addressed the question whether the sole director of the company which promoted and operated a managed investment scheme should also be considered to be a person operating the scheme. His Honour said at [55]-[57]: ""The word 'operate' is an ordinary word of the English language and, in the context, should be given its meaning in ordinary parlance. The term is not used to refer to ownership or proprietorship but rather to the acts which constitute the management of or the carrying out of the activities which constitute the managed investment scheme. The Oxford English Dictionary gives these relevant meanings: 5. To effect or produce by action or the exertion of force or influence; to bring about, accomplish, work. 6. To cause or actuate the working of; to work (a machine, etc). Chiefly U.S. 7. To direct the working of; to manage, conduct, work (a railway, business, etc); to carry out or through, direct to an end (a principle, an undertaking, etc) orig. U.S. I have concluded that Mr McKim operated the managed investment scheme. He was the living person who formulated and directed the scheme and he was actively involved in its day to day operations. He supervised others in their performance. I have also concluded that Mr McKim is not exempted by s601ED(6). He did not 'merely' act as agent or employee of Pegasus. He was the directing mind and will of Pegasus and of the scheme."" 35 Mansfield J reached a similar conclusion in Australian Securities and Investments Commission v McNamara (2002) 42 ACSR 488. In that case, the individual in question was one of the directors of the company managing the scheme. His Honour found that the person in question formulated and directed the scheme, and was actively involved in its day to day operations as the directing mind and will of the company managing the scheme. Accordingly, he was operating the scheme in contravention of s 601EB(5). In making these findings, Mansfield J approved the passage in Pegasus to which I have referred. 55 Since Australian Softwood Forest Pty Ltd v Attorney-General (NSW ) [1981] HCA 49 ; (1981) 148 CLR 121, esp at 125, the courts have recognised that the grant of declaratory relief on the application of a statutory body such as ASIC may serve important law enforcement purposes: see Corporate Affairs Commission (NSW) v Transphere Pty Ltd (1988) NSWLR 596 at 603; Australian Securities and Investments Commission v Sweeney [2001] NSWSC 114 at [30] - [31] ; and Pegasus at 571. ASIC is charged with the administration and enforcement of the Act , and there will be many cases where it is in the public interest for the courts to make a declaration on ASIC's application that the Act has been contravened in specified respects. The making of such a declaration does not simply record the outcome of enforcement proceedings; it may also be an appropriate way of marking the court's disapproval of the contravening conduct: see Tobacco Institute of Australia Ltd v Australian Federation of Consumer Organisations Inc (No 2) (1993) 41 FCR 80 at 97-99, 106 and 110. 77 ASIC does not seek an order that BTS be wound up, even though there is some evidence that it might be insolvent. In many cases, it may be appropriate, and it may further investor protection, to make winding up orders in respect of both the unregistered managed investment scheme and the company which administered the scheme: see Pegasus at 579-580, at [95] [98]. Indeed, in Australian Securities and Investment Commission v Chase Capital Management Pty Ltd (2001) 36 ACSR 778 at 796, Owen J said at [93] that if an unregistered scheme is to be wound up, the case for a liquidation of the company that conducted it is compelling."
Case56,cited,Australian Securities and Investment Commission v Chase Capital Management Pty Ltd (2001) 36 ACSR 778,"ASIC does not seek an order that BTS be wound up, even though there is some evidence that it might be insolvent. In many cases, it may be appropriate, and it may further investor protection, to make winding up orders in respect of both the unregistered managed investment scheme and the company which administered the scheme: see Pegasus at 579-580, at [95] [98]. Indeed, in Australian Securities and Investment Commission v Chase Capital Management Pty Ltd (2001) 36 ACSR 778 at 796, Owen J said at [93] that if an unregistered scheme is to be wound up, the case for a liquidation of the company that conducted it is compelling."
Case70,cited,Bond v WorkCover Corporation (SA) (2005) 93 SASR 315,"I should indicate that even if I came to the conclusion that there was a failure to adhere to a requirement of consultation with a local Aboriginal community prior to suspension or removal, I would not consider that such failure would vitiate the decision to remove or suspend. I readily accept that the Act has given express and considerable prominence to the role of the local Aboriginal communities, and that the Act envisages that consultation with such communities be undertaken in defined circumstances. However, I must look at the power here being exercised, which is not one of appointment, but of suspension and removal. Such powers may need to be exercised in a variety of circumstances, without there necessarily being any relevance in seeking the views of local Aboriginal communities, such as for instance if a particular inspector was considered no longer to be a fit and proper person. I do not accept that the input of the local Aboriginal community is of the same significance in circumstances of suspension or removal, or that consultation would be regarded as an essential or mandatory requirement to effect a suspension or removal. If necessary to decide, I would take the view that if there was a requirement of consultation with a local Aboriginal community prior to suspension or removal, breach of that requirement would not lead to the invalidity of such a suspension or removal: see generally Project Blue Sky Inc v Australian Broadcasting Authority [1998] HCA 28 ; (1998) 194 CLR 355 at 388-391; and Bond v WorkCover Corporation (SA) (2005) 93 SASR 315 at 331-336."
Case73,cited,Hot Holdings Pty Ltd v Creasy [2002] HCA 51 ; (2002) 210 CLR 438,"Matters of policy and implementation of policy (including change in qualifications for appointment), and the views of the Victorian community or the respondent's perception about those views, are ones which the respondent, upon which a discretionary power has been conferred, may take into account. In Minister for Immigration and Multicultural Affairs v Jia Legeng [2001] HCA 17 ; (2001) 205 CLR 507 at 565 per Hayne J (with whom Gleeson CJ and Gummow J agreed at 538-539) discussed the nature of the types of matters a minister with a discretionary power might take into account: Conferring power on a Minister may well indicate that a particularly wide range of factors and sources of information may be taken into account, given the types of influence to which Ministers are legitimately subject. See also Murphyores Incorporated Pty Ltd v Commonwealth [1976] HCA 20 ; (1976) 136 CLR 1 at 13-14; Hot Holdings Pty Limited v Creasy [2002] HCA 51 ; (2002) 210 CLR 438; South Australia v O'Shea [1987] HCA 39 ; (1987) 163 CLR 378."
Case74,cited,Jarratt v Commissioner of Police (NSW) [2005] HCA 50 ; (2005) 224 CLR 44,"I am prepared to assume for the purposes of this case that natural justice or procedural fairness needed to be accorded to each applicant. The real question to determine is the practical content of natural justice or procedural fairness in this case: see, e.g. Jarratt v Commissioner of Police (NSW) [2005] HCA 50 ; (2005) 224 CLR 44 at 51 per Gleeson CJ."
Case76,cited,Minister for Immigration and Multicultural Affairs v Jia Legeng [2001] HCA 17 ; (2001) 205 CLR 507,"Matters of policy and implementation of policy (including change in qualifications for appointment), and the views of the Victorian community or the respondent's perception about those views, are ones which the respondent, upon which a discretionary power has been conferred, may take into account. In Minister for Immigration and Multicultural Affairs v Jia Legeng [2001] HCA 17 ; (2001) 205 CLR 507 at 565 per Hayne J (with whom Gleeson CJ and Gummow J agreed at 538-539) discussed the nature of the types of matters a minister with a discretionary power might take into account: Conferring power on a Minister may well indicate that a particularly wide range of factors and sources of information may be taken into account, given the types of influence to which Ministers are legitimately subject. See also Murphyores Incorporated Pty Ltd v Commonwealth [1976] HCA 20 ; (1976) 136 CLR 1 at 13-14; Hot Holdings Pty Limited v Creasy [2002] HCA 51 ; (2002) 210 CLR 438; South Australia v O'Shea [1987] HCA 39 ; (1987) 163 CLR 378."
Case78,cited,Murphyores Incorporated Pty Ltd v Commonwealth [1976] HCA 20 ; (1976) 136 CLR 1,"Matters of policy and implementation of policy (including change in qualifications for appointment), and the views of the Victorian community or the respondent's perception about those views, are ones which the respondent, upon which a discretionary power has been conferred, may take into account. In Minister for Immigration and Multicultural Affairs v Jia Legeng [2001] HCA 17 ; (2001) 205 CLR 507 at 565 per Hayne J (with whom Gleeson CJ and Gummow J agreed at 538-539) discussed the nature of the types of matters a minister with a discretionary power might take into account: Conferring power on a Minister may well indicate that a particularly wide range of factors and sources of information may be taken into account, given the types of influence to which Ministers are legitimately subject. See also Murphyores Incorporated Pty Ltd v Commonwealth [1976] HCA 20 ; (1976) 136 CLR 1 at 13-14; Hot Holdings Pty Limited v Creasy [2002] HCA 51 ; (2002) 210 CLR 438; South Australia v O'Shea [1987] HCA 39 ; (1987) 163 CLR 378."
Case80,cited,Project Blue Sky Inc v Australian Broadcasting Authority [1998] HCA 28 ; (1998) 194 CLR 355,"I should indicate that even if I came to the conclusion that there was a failure to adhere to a requirement of consultation with a local Aboriginal community prior to suspension or removal, I would not consider that such failure would vitiate the decision to remove or suspend. I readily accept that the Act has given express and considerable prominence to the role of the local Aboriginal communities, and that the Act envisages that consultation with such communities be undertaken in defined circumstances. However, I must look at the power here being exercised, which is not one of appointment, but of suspension and removal. Such powers may need to be exercised in a variety of circumstances, without there necessarily being any relevance in seeking the views of local Aboriginal communities, such as for instance if a particular inspector was considered no longer to be a fit and proper person. I do not accept that the input of the local Aboriginal community is of the same significance in circumstances of suspension or removal, or that consultation would be regarded as an essential or mandatory requirement to effect a suspension or removal. If necessary to decide, I would take the view that if there was a requirement of consultation with a local Aboriginal community prior to suspension or removal, breach of that requirement would not lead to the invalidity of such a suspension or removal: see generally Project Blue Sky Inc v Australian Broadcasting Authority [1998] HCA 28 ; (1998) 194 CLR 355 at 388-391; and Bond v WorkCover Corporation (SA) (2005) 93 SASR 315 at 331-336."
Case84,cited,South Australia v O'Shea [1987] HCA 39 ; (1987) 163 CLR 378,"Matters of policy and implementation of policy (including change in qualifications for appointment), and the views of the Victorian community or the respondent's perception about those views, are ones which the respondent, upon which a discretionary power has been conferred, may take into account. In Minister for Immigration and Multicultural Affairs v Jia Legeng [2001] HCA 17 ; (2001) 205 CLR 507 at 565 per Hayne J (with whom Gleeson CJ and Gummow J agreed at 538-539) discussed the nature of the types of matters a minister with a discretionary power might take into account: Conferring power on a Minister may well indicate that a particularly wide range of factors and sources of information may be taken into account, given the types of influence to which Ministers are legitimately subject. See also Murphyores Incorporated Pty Ltd v Commonwealth [1976] HCA 20 ; (1976) 136 CLR 1 at 13-14; Hot Holdings Pty Limited v Creasy [2002] HCA 51 ; (2002) 210 CLR 438; South Australia v O'Shea [1987] HCA 39 ; (1987) 163 CLR 378."
